Tag 3 (with Kids),Tag 4 (with Elderly),Tag 5 (with other dogs),Tag 6 (Medical condition),Medical Condition Remarks,Tag 7 (Requires experience),Tag 8 (Grills required)
Good with kids,Good with elderly,Good with other dogs,Yes,Food Aggression,No,No
Unknown,Unknown,Unknown,No,,No,No
Good with kids,Good with elderly,Bad with other dogs,No,,Yes,Yes
Good with kids,Good with elderly,Unknown,Yes,Cancerous growth on vulva,No,Yes
Bad with kids,Bad with elderly,Good with other dogs,Yes,Sensitive Skin,Yes,No
Unknown,Unknown,Good with other dogs,No,,No,Yes
Bad with kids,Good with elderly,Bad with other dogs,No,,Yes,No
Good with kids,Good with elderly,Bad with other dogs,No,,No,Yes
Good with kids,Good with elderly,Good with other dogs,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,Yes,Chronic kidney disease,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Bad with kids,Good with elderly,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,Yes,No
Unknown,Unknown,Unknown,No,,No,Yes
Good with kids,Good with elderly,Bad with other dogs,No,,No,Yes
Unknown,Unknown,Unknown,No,,Yes,No
Good with kids,Good with elderly,Unknown,No,,No,No
Good with kids,Good with elderly,Unknown,Yes,Heartworm,Yes,No
Unknown,Unknown,Unknown,No,,Yes,No
Unknown,Unknown,Unknown,No,,Yes,Yes
Unknown,Unknown,Unknown,Yes,Intestinal and lung problems,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Bad with kids,Bad with elderly,Bad with other dogs,Yes,Food allergies,No,Yes
Good with kids,Good with elderly,Unknown,Yes,Wobbly right hind leg,No,No
Unknown,Unknown,Unknown,No,,Yes,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Good with kids,Good with elderly,Unknown,No,,No,Yes
Bad with kids,Good with elderly,Bad with other dogs,No,,No,Yes
Good with kids,Good with elderly,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Bad with kids,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,Yes,Chronic kidney disease,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,Yes,Lower spine issues,No,No
Unknown,Unknown,Unknown,No,,No,No
Good with kids,Good with elderly,Unknown,Yes,Worms and tick fever,No,No
Bad with kids,Bad with elderly,Unknown,Yes,Heartworm,No,Yes
Good with kids,Good with elderly,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Good with kids,Good with elderly,Good with other dogs,No,,No,Yes
Bad with kids,Good with elderly,Good with other dogs,Yes,One blind eye,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Good with kids,Good with elderly,Bad with other dogs,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Bad with kids,Good with elderly,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Good with kids,Good with elderly,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Bad with kids,Unknown,Good with other dogs,No,,No,No
Good with kids,Good with elderly,Good with other dogs,No,,No,No
Bad with kids,Bad with elderly,Good with other dogs,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Good with other dogs,No,,No,Yes
Unknown,Unknown,Unknown,No,,Yes,No
Bad with kids,Unknown,Good with other dogs,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Bad with other dogs,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Good with other dogs,No,,Yes,Yes
Good with kids,Good with elderly,Unknown,No,,No,No
Unknown,Unknown,Bad with other dogs,No,,Yes,No
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,No,Yes
Unknown,Unknown,Unknown,Yes,Arthritis,No,Yes
Bad with kids,Good with elderly,Good with other dogs,No,,No,No
Good with kids,Good with elderly,Good with other dogs,No,,No,Yes
Unknown,Unknown,Good with other dogs,No,,No,Yes
Unknown,Unknown,Unknown,Yes,3-legged,No,No
Unknown,Unknown,Good with other dogs,Yes,3-legged,No,No
Unknown,Unknown,Unknown,No,,No,No
Bad with kids,Bad with elderly,Bad with other dogs,No,,No,No
Unknown,Unknown,Unknown,No,,No,No
Good with kids,Good with elderly,Unknown,No,,No,No
Unknown,Unknown,Unknown,No,,Yes,Yes
Unknown,Unknown,Good with other dogs,No,,Yes,Yes
Bad with kids,Bad with elderly,Unknown,No,,Yes,Yes
Unknown,Unknown,Good with other dogs,No,,No,Yes
