Tag 3 (with Kids),Tag 4 (with Elderly),Tag 5 (with other dogs),Tag 6 (Medical condition),Tag 7 (Requires experience),Tag 8 (Grills required)
Good with kids,Good with elderly,Good with other dogs,Yes,No,No
Unknown,Unknown,Unknown,No,No,No
Good with kids,Good with elderly,Bad with other dogs,No,Yes,Yes
Good with kids,Good with elderly,Unknown,Yes,No,Yes
Bad with kids,Bad with elderly,Good with other dogs,Yes,Yes,No
Unknown,Unknown,Good with other dogs,No,No,Yes
Bad with kids,Good with elderly,Bad with other dogs,No,Yes,No
Good with kids,Good with elderly,Bad with other dogs,No,No,Yes
Good with kids,Good with elderly,Good with other dogs,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,Yes,No,No
Unknown,Unknown,Unknown,No,No,Yes
Bad with kids,Good with elderly,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,Yes,No
Unknown,Unknown,Unknown,No,No,Yes
Good with kids,Good with elderly,Bad with other dogs,No,No,Yes
Unknown,Unknown,Unknown,No,Yes,No
Good with kids,Good with elderly,Unknown,No,No,No
Good with kids,Good with elderly,Unknown,Yes,Yes,No
Unknown,Unknown,Unknown,No,Yes,No
Unknown,Unknown,Unknown,No,Yes,Yes
Unknown,Unknown,Unknown,Yes,No,No
Unknown,Unknown,Unknown,No,No,Yes
Bad with kids,Bad with elderly,Bad with other dogs,Yes,No,Yes
Good with kids,Good with elderly,Unknown,Yes,No,No
Unknown,Unknown,Unknown,No,Yes,Yes
Unknown,Unknown,Unknown,No,No,Yes
Good with kids,Good with elderly,Unknown,No,No,Yes
Bad with kids,Good with elderly,Bad with other dogs,No,No,Yes
Good with kids,Good with elderly,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Bad with kids,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,Yes,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,Yes,No,No
Unknown,Unknown,Unknown,No,No,No
Good with kids,Good with elderly,Unknown,Yes,No,No
Bad with kids,Bad with elderly,Unknown,Yes,No,Yes
Good with kids,Good with elderly,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,No
Good with kids,Good with elderly,Good with other dogs,No,No,Yes
Bad with kids,Good with elderly,Good with other dogs,Yes,No,No
Unknown,Unknown,Unknown,No,No,Yes
Good with kids,Good with elderly,Bad with other dogs,No,No,No
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Bad with kids,Good with elderly,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,No
Good with kids,Good with elderly,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Bad with kids,Unknown,Good with other dogs,No,No,No
Good with kids,Good with elderly,Good with other dogs,No,No,No
Bad with kids,Bad with elderly,Good with other dogs,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Good with other dogs,No,No,Yes
Unknown,Unknown,Unknown,No,Yes,No
Bad with kids,Unknown,Good with other dogs,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Bad with other dogs,No,No,No
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Good with other dogs,No,Yes,Yes
Good with kids,Good with elderly,Unknown,No,No,No
Unknown,Unknown,Bad with other dogs,No,Yes,No
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,Yes,No,Yes
Bad with kids,Good with elderly,Good with other dogs,No,No,No
Good with kids,Good with elderly,Good with other dogs,No,No,Yes
Unknown,Unknown,Good with other dogs,No,No,Yes
Unknown,Unknown,Unknown,Yes,No,No
Unknown,Unknown,Good with other dogs,Yes,No,No
Unknown,Unknown,Unknown,No,No,No
Bad with kids,Bad with elderly,Bad with other dogs,No,No,No
Unknown,Unknown,Unknown,No,No,No
Good with kids,Good with elderly,Unknown,No,No,No
Unknown,Unknown,Unknown,No,Yes,Yes
Unknown,Unknown,Good with other dogs,No,Yes,Yes
Bad with kids,Bad with elderly,Unknown,No,Yes,Yes
Unknown,Unknown,Good with other dogs,No,No,Yes
Good with kids,Good with elderly,Good with other dogs,Yes,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,Yes,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Good with other dogs,No,No,Yes
Good with kids,Good with elderly,Bad with other dogs,Yes,Yes,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,No,Yes
Bad with kids,Unknown,Good with other dogs,No,No,Yes
Unknown,Unknown,Unknown,No,No,No
Unknown,Unknown,Unknown,No,Yes,Yes
Unknown,Unknown,Unknown,No,Yes,Yes
Unknown,Unknown,Good with other dogs,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
Unknown,Unknown,Unknown,No,No,Yes
