,Tag3 ,Tag4,Tag5,Tag6,Tag7,Tag8
0,0,0,0,1,0,0
1,0,0,0,0,0,0
2,0,0,1,0,1,1
3,0,0,0,1,0,1
4,1,1,0,1,1,0
5,0,0,0,0,0,1
6,1,0,1,0,1,0
7,0,0,1,0,0,1
8,0,0,0,0,0,0
9,0,0,0,0,0,1
10,0,0,0,0,0,1
11,0,0,0,1,0,0
12,0,0,0,0,0,1
13,1,0,0,0,0,1
14,0,0,0,0,0,1
15,0,0,0,0,0,0
16,0,0,0,0,0,1
17,0,0,0,0,0,0
18,0,0,0,0,0,1
19,0,0,0,0,0,1
20,0,0,0,0,0,1
21,0,0,0,0,1,0
22,0,0,0,0,0,1
23,0,0,1,0,0,1
24,0,0,0,0,1,0
25,0,0,0,0,0,0
26,0,0,0,1,1,0
27,0,0,0,0,1,0
28,0,0,0,0,1,1
29,0,0,0,1,0,0
30,0,0,0,0,0,1
31,1,1,1,1,0,1
32,0,0,0,1,0,0
33,0,0,0,0,1,1
34,0,0,0,0,0,1
35,0,0,0,0,0,1
36,1,0,1,0,0,1
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,1
40,0,0,0,0,0,0
41,0,0,0,0,0,1
42,0,0,0,0,0,0
43,0,0,0,0,0,1
44,0,0,0,0,0,1
45,1,0,0,0,0,0
46,0,0,0,0,0,1
47,0,0,0,1,0,1
48,0,0,0,0,0,1
49,0,0,0,0,0,0
50,0,0,0,0,0,1
51,0,0,0,0,0,1
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,1
55,0,0,0,0,0,0
56,0,0,0,1,0,0
57,0,0,0,0,0,0
58,0,0,0,1,0,0
59,1,1,0,1,0,1
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,1
63,1,0,0,1,0,0
64,0,0,0,0,0,1
65,0,0,1,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,1
68,0,0,0,0,0,1
69,0,0,0,0,0,0
70,1,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,1
73,0,0,0,0,0,1
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,1
78,1,0,0,0,0,0
79,0,0,0,0,0,0
80,1,1,0,0,0,1
81,0,0,0,0,0,1
82,0,0,0,0,0,1
83,0,0,0,0,0,1
84,0,0,0,0,1,0
85,1,0,0,0,0,1
86,0,0,0,0,0,0
87,0,0,1,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,1,1
90,0,0,0,0,0,0
91,0,0,1,0,1,0
92,0,0,0,0,0,0
93,0,0,0,0,0,1
94,0,0,0,0,0,0
